subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.58,1,correct,-0.561635058,-1.534152815
1,0.452,1,correct,-5.968810829,-0.225083246
1,0.426,0,correct,-2.544469719,-2.701084854
1,0.66,1,error,10.17275963,1.873662057
1,0.378,1,correct,-2.581203561,3.214755354
1,0.424,0,correct,-8.172126836,-6.074508992
1,0.618,1,error,-13.57899264,11.28262263
1,0.406,1,correct,-6.363231718,-4.669769378
1,0.498,1,correct,0.60604821,0.411629302
1,0.462,1,correct,-1.738084952,-1.318810597
1,0.556,1,correct,-8.177475587,-6.773336662
1,0.589,1,correct,-2.438190854,-5.106827869
1,0.518,0,correct,-1.687003441,-2.71291815
1,0.452,1,error,19.82579261,-11.66683378
1,0.46,0,correct,-6.57040105,-4.19913224
1,0.492,1,error,-12.133526,5.206911511
1,0.492,1,correct,-1.966229623,-0.584474936
1,0.418,1,correct,2.976711201,-3.160517603
1,0.54,1,correct,0.437956502,2.958991337
1,0.478,1,correct,-5.772850331,-2.695193008
1,0.632,1,correct,-8.015690305,-5.438631485
1,0.466,0,correct,-4.062503349,-2.024810573
1,0.632,1,error,7.592792775,-6.521298272
1,0.468,0,correct,-1.318092757,0.151149531
1,0.524,0,error,-11.14064975,5.243032654
1,0.684,1,correct,-10.15256321,-3.178992318
1,0.536,1,correct,6.876177672,6.307948204
1,0.6,1,correct,-1.106094588,4.598705597
1,0.532,1,correct,-5.429134985,-5.751721824
1,0.48,1,correct,-1.209583405,0.077934829
1,0.632,1,correct,10.10022659,4.473533506
1,0.43,1,correct,-10.53387605,-9.014826161
1,0.61,1,correct,8.798470821,1.766311699
1,0.41,1,correct,0.716564751,0.245162723
1,0.662,1,correct,5.532824832,0.996312969
1,0.624,1,correct,-2.375224536,-0.822023044
1,0.65,1,correct,1.277797862,3.468197767
1,0.54,1,correct,5.886788515,-1.962669536
1,0.606,1,correct,-10.68007631,-9.488965276
1,0.584,1,correct,-2.89339781,-2.739921657
1,0.414,1,correct,15.06542914,16.16144466
1,0.616,1,correct,7.040584878,6.503129679
1,0.598,1,correct,-0.544662064,2.104956231
1,0.516,1,correct,6.02837113,-1.634364075
1,0.522,1,correct,-6.056495306,-9.330226013
1,0.452,0,correct,-3.621658239,-2.224765998
1,0.562,1,error,-19.46518659,10.24634312
1,0.552,1,correct,-7.094032446,-5.719877098
