subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.304,1,correct,-1.726739426,2.462317557
1,0.44,1,correct,3.495041341,2.992430172
1,0.282,0,correct,3.334930311,-6.761572039
1,0.434,1,error,15.17921591,-2.740772936
1,0.396,1,correct,-0.247738765,2.729131713
1,0.366,1,correct,0.97052576,0.789744464
1,0.466,1,correct,3.411886939,5.176181074
1,0.38,1,correct,2.070859458,3.453651986
1,0.394,1,correct,-1.227332656,6.469192354
1,0.48,1,correct,8.311017237,22.66917372
1,0.412,0,correct,9.393388294,14.18851309
1,0.402,1,error,-10.28005295,2.497654777
1,0.646,0,error,-2.903789791,2.573346153
1,0.366,1,correct,-0.470408402,2.251268857
1,0.368,1,correct,10.05517457,-9.077935551
1,0.476,0,correct,4.840098963,0.667912692
1,0.46,1,error,-10.99194417,3.528496237
1,0.416,1,correct,2.203121754,4.626528736
1,0.42,0,correct,-0.482420988,-1.8421842
1,0.34,0,correct,2.430589179,10.25884445
1,0.344,1,error,-1.481249441,6.407655704
1,0.38,1,correct,6.775890598,-5.656972578
1,0.404,1,correct,-2.876303566,5.26387468
1,0.386,1,correct,2.03102508,4.731450835
1,0.412,0,correct,3.329307133,2.592185332
1,0.398,1,error,-9.568897223,6.040276281
1,0.42,1,error,-13.496023,11.73764054
1,0.456,1,error,8.964770895,-15.85523312
1,0.392,1,correct,5.93452142,-4.784599517
1,0.364,1,correct,7.058040195,7.91058947
1,0.456,1,correct,-0.8730083,1.461791207
1,0.482,0,correct,4.74463202,10.19493743
1,0.4,1,error,-6.627917247,1.553754172
1,0.514,1,correct,-4.124616249,-4.746285516
1,0.424,1,correct,-4.856326618,-17.80602077
1,0.4,1,correct,-3.424296299,14.55397669
1,0.332,1,correct,-3.80262168,1.736275118
1,0.544,1,correct,5.015237549,9.7857553
1,0.502,1,correct,0.072034629,-5.107648069
1,0.404,1,correct,-1.249002532,-1.289781152
1,0.332,1,correct,0.071042999,-8.85769071
1,0.388,1,correct,0.548343378,-0.607792811
1,0.432,1,correct,-0.85196278,1.317321711
1,0.46,1,correct,0.217994434,-9.546426565
1,0.338,1,correct,4.043563029,-5.850289158
1,0.316,1,correct,-3.131079304,-19.10473914
1,0.388,1,correct,3.301222034,-2.300820083
1,0.32,1,correct,3.370091162,-3.659416957
1,0.36,1,correct,7.156302404,6.626944678
1,0.268,1,correct,2.616675788,-7.944819263
1,0.346,1,correct,0.814457323,6.924474944
1,0.396,0,correct,-0.886014715,-0.162255419
1,0.404,1,error,-9.367838446,3.837508368
1,0.378,1,correct,4.373015579,7.392997618
1,0.36,1,correct,0.162528461,-1.629133757
1,0.414,1,correct,1.55008387,2.816157313
1,0.304,1,correct,0.037371615,3.28133689
1,0.36,0,correct,6.705957784,8.320509984
1,0.476,1,error,-26.88841741,1.273444358
1,0.336,1,correct,4.930860716,12.91258022
1,0.37,1,correct,4.528181379,-2.799734358
1,0.404,1,correct,-0.873905214,-2.409879511
1,0.524,1,correct,-0.692103131,-8.735311368
1,0.43,1,correct,-2.496886112,-14.92073753
1,0.328,1,correct,-0.563163721,-0.572665189
1,0.38,0,correct,7.039172954,-2.672831799
1,0.302,1,error,-24.32358674,4.058206768
1,0.426,1,correct,6.410209537,9.967316695
1,0.564,1,correct,-3.164420914,0.203738123
1,0.46,1,correct,11.94318519,-9.475983807
1,0.418,1,correct,3.018250294,-8.227215927
1,0.378,1,correct,-3.174955266,-8.474770494
10,0.374,1,correct,0.022948859,-2.889771754
10,0.256,0,correct,0.525253352,-6.998442178
10,0.27,0,error,-10.87811545,12.08959927
10,0.266,0,error,-9.599553614,12.3691881
10,0.32,1,correct,1.524964473,-7.934416677
10,0.226,0,correct,0.518552337,2.426160956
10,0.32,0,error,-8.592678221,2.226661111
10,0.354,1,correct,2.183761188,-4.426941408
10,0.324,1,correct,6.565275594,-0.407858512
10,0.534,1,correct,0.314038833,-6.331769711
10,0.444,1,correct,-1.149185097,-9.249296495
10,0.48,1,correct,3.659416965,-2.321910953
10,0.44,1,correct,0.972368317,-0.528128034
10,0.426,1,error,-14.50971848,1.525451027
10,0.328,1,correct,2.541943846,-4.941827121
10,0.436,1,correct,2.978911563,-4.740678928
10,0.336,1,correct,-1.924228792,-0.606626321
10,0.386,1,correct,6.033147539,7.801666537
10,0.364,0,correct,1.639033425,4.476320774
10,0.428,1,error,-15.73347941,6.016191905
10,0.294,0,correct,3.885799163,3.942834823
10,0.636,1,error,-6.31539326,9.926548421
10,0.406,1,correct,-2.970708928,1.374006181
10,0.392,1,correct,1.722496936,3.494479163
10,0.334,1,correct,6.777995912,-2.099117622
10,0.388,1,correct,5.298560331,9.684736327
10,0.386,1,correct,-1.725719381,-3.287805221
10,0.318,1,correct,0.00130685,-0.486920313
10,0.438,1,correct,2.43735814,1.252849358
10,0.416,1,correct,1.149130679,0.913589553
10,0.406,1,correct,0.936704721,1.960080901
10,0.36,1,correct,0.88531381,0.99896648
10,0.344,1,correct,0.243950196,2.704891728
10,0.354,1,correct,3.160294099,3.578642398
10,0.39,1,correct,2.868644467,-2.456010776
10,0.336,0,correct,2.444649613,7.438148433
10,0.642,1,error,3.364940754,-9.536220699
10,0.348,1,correct,0.780225476,-10.22157138
10,0.448,1,correct,3.400794156,2.255674718
10,0.472,1,correct,-0.52413494,1.674336232
10,0.446,0,correct,-0.26087223,0.870663859
