subj_idx,rt,response,type,pre_Ne,pre_Pe
10,0.33,1,correct,9.658686029,-2.792286858
10,0.582,1,correct,-7.488982673,2.769308396
10,0.552,1,correct,-2.135089429,-0.095166534
10,0.518,1,correct,-8.066287879,2.310114478
10,0.488,1,correct,-3.991096291,3.782394507
10,0.398,1,correct,-1.367169001,-1.296259728
10,0.432,1,correct,-0.626975439,-3.238713134
10,0.486,1,correct,17.14029535,-2.69380539
10,0.548,1,correct,-1.906031006,5.329990408
10,0.478,1,correct,18.22402122,-9.553755946
10,0.52,1,correct,-4.970666881,5.871337971
10,0.626,1,correct,17.13307551,-7.722967578
10,0.536,1,correct,16.59473544,-4.536743163
10,0.492,1,correct,-3.650414021,8.172457883
10,0.54,1,correct,-0.89376779,1.653960893
10,0.43,1,correct,-1.954109379,0.980007144
10,0.45,1,correct,13.5647447,-8.085000445
10,0.466,0,correct,0.911999162,-1.338593988
10,0.804,1,error,-2.675929713,0.134765778
10,0.51,1,correct,-0.755305718,2.322610272
10,0.472,1,error,-5.126580401,7.804016375
10,0.432,1,correct,-9.680374436,-3.233080892
10,0.44,1,correct,3.606193893,4.412045985
10,0.606,1,correct,-2.387163592,6.510674345
10,0.37,0,correct,-6.126024765,7.194172828
10,0.456,1,error,-11.00582105,1.796334271
10,0.422,1,error,-10.23720296,-3.793696277
10,0.399,1,correct,-5.130070868,-0.65372075
10,0.416,1,correct,0.783235676,1.94329404
10,0.412,1,correct,6.611247247,-4.353677655
10,0.504,1,correct,0.606557092,-0.94929612
10,0.404,1,correct,-3.193151802,8.238862771
10,0.434,1,correct,-3.94236376,10.13938718
10,0.378,1,correct,-4.15146457,0.301139141
10,0.468,1,correct,-3.245358711,5.245964307
10,0.362,0,correct,-3.788570127,14.27351691
10,0.454,1,error,-10.89105465,-0.715664433
10,0.422,0,error,-11.29636459,-3.354220378
10,0.572,1,correct,-8.387554731,-1.517130374
10,0.564,0,error,-16.03459839,3.047095407
10,0.472,1,error,-7.331786962,-0.500031627
10,0.464,0,error,-15.74664749,-3.648625699
10,0.344,1,correct,-10.86621562,3.445230135
10,0.286,0,correct,-5.174655468,0.181325782
10,0.186,0,error,-11.38932606,4.069570129
10,0.354,1,correct,0.586363465,-1.003051516
10,0.248,0,correct,-2.194646668,3.080960365
10,0.47,1,error,-8.215854053,0.860599718
10,0.392,1,error,2.210505142,3.018403393
10,0.276,0,correct,-5.059922851,-1.758138497
10,0.554,1,error,13.02784672,-6.357477678
10,0.264,0,correct,5.64322637,1.192006936
10,0.334,0,error,-10.77300044,-3.73519839
10,0.182,1,error,-9.390570844,4.382457551
10,0.564,0,error,5.230881499,1.939552727
10,0.426,0,error,-2.391290586,0.490611965
10,0.542,1,correct,-11.47020087,-0.883051056
10,0.362,1,correct,-9.402532783,-1.602403919
10,0.376,0,error,1.001256925,-1.357607235
10,0.3,1,correct,-3.710241791,-1.243064362
10,0.224,1,correct,-3.165097152,-0.984675215
10,0.244,1,correct,-10.27812079,1.579381183
10,0.276,1,correct,-3.710273854,3.540814967
10,0.306,0,correct,-4.911097704,-1.167149763
10,0.454,1,error,-11.21386094,5.259271882
10,0.202,1,error,10.18199698,-8.92110699
10,0.244,0,correct,-1.780160241,2.743513792
10,0.268,0,error,-3.778266179,3.172872538
10,0.294,0,error,-4.963567274,2.583764366
10,0.348,0,error,7.975954515,-10.59605449
10,0.396,0,error,2.547434697,2.033460443
10,0.22,1,error,-3.961137911,9.993223856
10,0.598,1,error,-6.410187382,10.04147881
10,0.29,0,error,-3.002447411,7.433869704
10,0.23,1,correct,13.825535,-5.747167888
10,0.194,0,error,21.0477725,-3.33391798
10,0.19,0,error,13.27860835,-9.582909636
10,0.226,0,error,6.861349088,-9.07686601
10,0.152,0,correct,-4.03239506,0.681247149
10,0.5,0,error,-0.744035896,3.849375072
10,0.238,1,error,-2.802099092,2.578409975
11,0.716,1,correct,5.001760988,-1.973226423
11,0.716,1,correct,-8.133693527,-2.212351941
11,0.816,1,correct,0.868806138,-11.10136762
11,0.758,1,correct,-6.061321104,25.47314641
11,0.922,1,correct,11.4567223,-1.359033547
11,0.728,1,correct,17.80698762,-13.89144116
11,0.838,1,correct,12.67920955,-8.48461969
